school_name,course,category,region,tanisei,subjects,s1,hensachi,naishin,note
横浜翠嵐,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,928,72,124,
川和,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,887,66,124,
多摩,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,878,66,121,
神奈川総合,個性化,普通科・単位制普通科,横浜東部・北部・川崎地区,1,,865,65,121,
神奈川総合,国際文化,普通科・単位制普通科,横浜東部・北部・川崎地区,1,4,833,63,115,
新城,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,826,61,117,
市ケ尾,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,782,59,110,
生田,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,751,57,107,
市立東,,普通科・単位制普通科,横浜東部・北部・川崎地区,1,,740,57,106,
市立橘,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,734,56,108,
港北,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,726,56,103,
元石川,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,694,54,100,
鶴見,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,672,52,100,
岸根,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,650,52,94,
住吉,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,647,52,96,
市立高津,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,636,50,96,
荏田,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,616,49,90,
城郷,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,574,46,90,
麻生,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,563,46,87,
霧が丘,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,560,46,86,
県立川崎,,普通科・単位制普通科,横浜東部・北部・川崎地区,1,,546,44,87,
市立幸,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,543,44,86,
川崎北,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,535,43,86,
百合丘,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,527,43,84,
新栄,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,501,42,79,
新羽,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,503,41,77,
生田東,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,467,40,79,
白山,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,456,37,68,
菅,,普通科・単位制普通科,横浜東部・北部・川崎地区,0,,422,36,69,
大師,,普通科・単位制普通科,横浜東部・北部・川崎地区,1,,380,34,61,
柏陽,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,911,69,125,
横浜緑ケ丘,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,895,67,124,
希望ケ丘,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,860,64,121,
光陵,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,848,63,120,
市立金沢,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,830,63,115,
横浜平沼,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,839,62,118,
市立桜丘,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,776,59,113,
市立戸塚,一般コース,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,1,,765,58,108,
松陽,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,737,56,109,
横浜栄,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,1,,685,54,100,
市立戸塚,音楽コース,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,1,,665,51,101,
横浜瀬谷,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,650,51,97,
横浜氷取沢,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,606,50,91,
横浜清陵,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,1,,600,49,93,
金井,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,597,48,91,
横浜立野,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,585,46,93,
舞岡,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,547,45,85,
横浜南陵,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,539,44,85,
二俣川,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,523,43,83,
旭,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,523,42,85,
上矢部,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,494,41,79,
横浜緑園,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,1,,487,40,79,
保土ケ谷,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,0,,476,38,71,
横浜桜陽,,普通科・単位制普通科,横浜西部・中部・南部・臨海地区,1,,435,36,68,
湘南,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,937,71,129,
横須賀,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,850,64,119,
鎌倉,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,838,62,120,
茅ケ崎北陵,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,796,60,113,
追浜,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,752,57,110,
七里ガ浜,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,731,56,107,
藤沢西,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,725,55,109,
大船,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,702,55,105,
横須賀大津,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,690,53,106,
湘南台,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,684,53,104,
鶴嶺,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,648,51,101,
茅ケ崎,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,622,49,95,
津久井浜,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,576,45,93,
藤沢清流,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,1,,558,45,88,
逗子葉山,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,509,43,79,
茅ケ崎西浜,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,512,41,79,
三浦初声,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,1,,454,37,71,
寒川,,普通科・単位制普通科,横須賀三浦・鎌倉藤沢・茅ケ崎地区,0,,378,34,55,
小田原,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,1,,869,64,124,
平塚江南,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,823,62,117,
秦野,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,709,54,108,
西湘,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,680,51,105,
伊志田,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,676,51,104,
大磯,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,638,50,102,
伊勢原,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,569,45,91,
秦野曽屋,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,552,41,88,
足柄,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,505,41,82,
高浜,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,501,41,81,
小田原東,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,432,38,68,
二宮,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,444,36,70,
山北,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,0,,429,36,71,
平塚湘風,,普通科・単位制普通科,平塚・秦野伊勢原・県西地区,1,,399,36,60,
厚木,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,901,67,126,
大和,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,870,65,121,
相模原,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,870,65,120,
海老名,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,793,60,115,
相模原弥栄,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,1,,784,58,113,
座間,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,767,58,111,
麻溝台,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,731,55,107,
厚木王子,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,665,51,,
上溝南,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,654,50,,
大和西,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,623,50,97,
上溝,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,612,48,,
橋本,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,598,47,,
厚木西,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,583,47,,
有馬,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,589,46,,
綾瀬,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,540,42,,
相模田名,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,521,40,,
厚木北,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,511,40,,
相模原城山,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,1,,489,40,,
大和南,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,487,40,,
上鶴間,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,479,40,,
厚木清南,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,1,,439,36,,
綾瀬西,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,426,36,,
津久井,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,3,394,35,,
愛川,,普通科・単位制普通科,厚木海老名愛甲・大和座間綾瀬・相模原地区,0,,381,33,,
相原,食品科学,農業科・水産科,,0,,565,45,90,
相原,環境緑地,農業科・水産科,,0,,513,44,78,
相原,畜産科学,農業科・水産科,,0,,523,42,85,
中央農業,畜産科学,農業科・水産科,,0,,490,41,78,
中央農業,農業総合,農業科・水産科,,0,,482,41,76,
平塚農商,食品科学,農業科・水産科,,0,,497,40,77,
平塚農商,都市農業,農業科・水産科,,0,,456,39,69,
海洋科学,船舶運航,農業科・水産科,,0,,439,39,68,
吉田島,食品加工,農業科・水産科,,0,,455,38,70,
吉田島,環境緑地,農業科・水産科,,0,,441,37,68,
海洋科学,水産食品,農業科・水産科,,0,,406,37,63,
中央農業,園芸科学,農業科・水産科,,0,,440,36,74,
平塚農商,都市環境,農業科・水産科,,0,,426,36,66,
平塚農商,農業総合,農業科・水産科,,0,,426,36,66,
海洋科学,無線技術,農業科・水産科,,0,,396,36,62,
海洋科学,生物環境,農業科・水産科,,0,,396,36,62,
三浦初声,都市農業,農業科・水産科,,0,,408,35,63,
吉田島,都市農業,農業科・水産科,,0,,398,33,63,
市立川崎総合科学,情報工学,工業科・総合産業科,,0,,657,53,93,
市立川崎総合科学,デザイン,工業科・総合産業科,,0,3,654,51,95,
神奈川工業,デザイン,工業科・総合産業科,,0,3,608,48,90,
神奈川総合産業,総合産業,工業科・総合産業科,,0,,564,48,85,
市立川崎総合科学,建設工学,工業科・総合産業科,,0,3,570,47,82,
市立川崎総合科学,電子機械,工業科・総合産業科,,0,,563,46,87,
神奈川工業,電気,工業科・総合産業科,,0,,512,43,80,
神奈川工業,機械,工業科・総合産業科,,0,,497,43,76,
市立川崎総合科学,総合電気,工業科・総合産業科,,0,,519,42,84,
