令和８年度神奈川県公立高等学校入学者選抜一般募集共通選抜等合格状況 （各学校別の合格の状況等）,,,,,,,,,,,,,
,１　一般募集共通選抜合格状況　（全日制の課程）,
,,
,普通科　（クリエイティブスクールを除く。）,
,,,,,,,,,,,,,
,地,,,,,受検者数,,,,,受検後,,
,,,学 校 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,区,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,横浜北,,,,,,,,,,,,
,,,県立鶴見,318,373,373,0,,,318,1,1.17,0
,,,県立横浜翠嵐,359,714,712,2,,,359,22,1.93,0
,,,県立城郷,238,271,270,1,,,238,2,1.1299999999999999,0
,,,県立港北,358,464,463,1,,,358,3,1.29,0
,,,県立新羽,398,439,438,1,,,398,6,1.0900000000000001,0
,,,県立岸根,318,423,423,0,,,318,3,1.32,0
,,,県立霧が丘,318,331,331,0,,,318,4,1.03,0
,,,県立白山,238,222,218,4,,,221,1,1,17
,,,県立市ケ尾,398,501,500,1,,,398,5,1.25,0
,,,県立元石川,358,426,425,1,,,358,1,1.19,0
,,,県立川和,359,434,433,1,,,359,5,1.19,0
,,,県立荏田,398,459,457,2,,,398,5,1.1399999999999999,0
,,,県立新栄,346,351,348,3,,,346,1,1.01,0
,,,,,,,,,,,,,
,横浜中,,,,,,,,,,,,
,,,県立希望ケ丘,359,516,515,1,,,359,5,1.42,0
,,,県立二俣川,118,92,91,1,,,91,1,1,27
,,,県立旭,318,322,321,1,,,318,1,1.01,0
,,,県立松陽,318,406,406,0,,,318,1,1.27,0
,,,県立横浜瀬谷,318,373,372,1,,,318,1,1.17,0
,,,県立横浜平沼,319,434,431,3,,,319,5,1.34,0
,,,県立光陵,279,377,375,2,,,279,4,1.34,0
,,,県立保土ケ谷,238,246,245,1,,,238,1,1.03,0
,,,県立舞岡,358,358,358,0,,,356,2,1,2
,,,県立上矢部,238,241,241,0,,,238,2,1,0
,,,県立金井,318,353,352,1,,,318,1,1.1100000000000001,0
,,,,,,,,,,,,,
,横浜南,,,,,,,,,,,,
,,,県立横浜南陵,238,267,267,0,,,238,2,1.1100000000000001,0
,,,県立柏陽,319,490,486,4,,,319,6,1.52,0
,,,県立横浜緑ケ丘,279,426,425,1,,,279,1,1.52,0
,,,県立横浜立野,278,330,327,3,,,279,2,1.18,0
,,,県立横浜氷取沢,358,424,423,1,,,358,3,1.18,0
,,,,,,,,,,,,,
,川　　　崎,,,,,,,,,,,,
,,,県立新城,268,423,422,1,,,268,7,1.55,0
,,,県立住吉,358,434,429,5,,,358,4,1.2,0
,,,県立川崎北,278,251,251,0,,,251,0,1,27
,,,県立多摩,279,466,466,0,,,279,9,1.64,0
,,,県立生田,398,446,444,2,,,398,4,1.1100000000000001,0
,,,県立百合丘,398,381,380,1,,,378,3,1,20
,,,県立生田東,318,329,327,2,,,318,3,1.03,0
,,,県立菅,278,162,162,0,,,161,1,1,117
,,,県立麻生,318,310,305,5,,,308,2,1,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,横須賀・三浦,,,,,,,,,,,,
,,,県立横須賀,279,346,346,0,,,279,4,1.23,0
,,,県立横須賀大津,278,320,320,0,,,278,4,1.1399999999999999,0
,,,県立追浜,318,348,344,4,,,318,3,1.08,0
,,,県立津久井浜,238,279,276,3,,,238,0,1.17,0
,,,県立逗子葉山,318,362,361,1,,,318,0,1.1399999999999999,0
,,,,,,,,,,,,,
,鎌倉・藤沢・茅ヶ崎,,,,,,,,,,,,
,,,県立鎌倉,359,433,432,1,,,359,2,1.2,0
,,,県立七里ガ浜,358,524,521,3,,,358,0,1.46,0
,,,県立大船,398,468,464,4,,,398,4,1.17,0
,,,県立湘南,359,567,564,3,,,360,8,1.55,0
,,,県立藤沢西,318,378,378,0,,,319,5,1.17,0
,,,県立湘南台,238,272,271,1,,,238,3,1.1299999999999999,0
,,,県立茅ケ崎,278,336,336,0,,,278,2,1.2,0
,,,県立茅ケ崎北陵,279,367,365,2,,,279,2,1.31,0
,,,県立鶴嶺,383,436,431,5,,,383,0,1.1399999999999999,0
,,,県立茅ケ崎西浜,358,368,365,3,,,358,1,1.03,0
,,,県立寒川,238,131,130,1,,,130,1,1,108
,,,,,,,,,,,,,
,平塚・秦野・伊勢原,,,,,,,,,,,,
,,,県立平塚江南,319,367,365,2,,,319,5,1.1299999999999999,0
,,,県立高浜,228,247,246,1,,,228,1,1.08,0
,,,県立大磯,278,344,344,0,,,278,1,1.23,0
,,,県立二宮,238,83,83,0,,,82,1,1,156
,,,県立秦野,358,408,407,1,,,358,1,1.1399999999999999,0
,,,県立秦野曽屋,278,247,246,1,,,247,0,1,31
,,,県立伊勢原,228,253,252,1,,,228,1,1.1100000000000001,0
,,,県立伊志田,308,331,330,1,,,311,0,1.06,0
,,,,,,,,,,,,,
,県　西,,,,,,,,,,,,
,,,県立小田原東,118,67,66,1,,,67,0,1,51
,,,県立西湘,348,339,336,3,,,338,1,1,10
,,,県立足柄,238,238,238,0,,,237,1,1,1
,,,県立山北,198,153,151,2,,,153,0,1,45
,,,,,,,,,,,,,
,県　　　　央,,,,,,,,,,,,
,,,県立厚木,359,443,439,4,,,359,7,1.21,0
,,,県立厚木王子,198,214,214,0,,,198,0,1.08,0
,,,県立厚木北,238,252,252,0,,,238,0,1.06,0
,,,県立厚木西,238,203,203,0,,,203,0,1,35
,,,県立海老名,398,467,461,6,,,399,2,1.17,0
,,,県立有馬,318,344,343,1,,,318,1,1.08,0
,,,県立愛川,178,95,95,0,,,95,0,1,83
,,,県立大和,279,368,364,4,,,279,3,1.31,0
,,,県立大和南,308,307,307,0,,,307,0,1,1
,,,県立大和西,278,318,317,1,,,278,3,1.1299999999999999,0
,,,県立座間,318,419,417,2,,,318,1,1.31,0
,,,県立綾瀬,318,321,321,0,,,319,2,1,0
,,,県立綾瀬西,318,288,286,2,,,286,2,1,32
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,相　模　原,,,,,,,,,,,,
,,,県立麻溝台,358,414,412,2,,,358,1,1.1499999999999999,0
,,,県立上鶴間,278,285,284,1,,,278,0,1.03,0
,,,県立上溝,238,276,275,1,,,242,0,1.1399999999999999,0
,,,県立相模原,279,350,349,1,,,279,1,1.25,0
,,,県立上溝南,358,379,377,2,,,358,0,1.06,0
,,,県立橋本,268,311,311,0,,,268,0,1.1599999999999999,0
,,,県立相模田名,278,266,266,0,,,266,0,1,12
,,,県立津久井,158,59,59,0,,,59,0,1,99
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,県　立　計,26045,29656,29532,124,,,25173,204,1.17,884
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,地,,,,,受検者数,,合格者数,,,受検後,,
,,,学 校 名,募集定員,計,２月17日,追検査,学区,学区,計,取消者数,競争率,欠員
,区,,,,(A)+(B),(A),(B),内,外,(C),(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,横,,横浜市立桜丘,318,383,383,0,313,5,318,4,1.19,0
,市,,横浜市立金沢,318,408,406,2,259,59,318,5,1.27,0
,立,,小　　計,636,791,789,2,572,64,636,9,1.23,0
,,,,,,,,,,,,,
,川崎市立,,,,,,,,,,,,
,,,川崎市立橘,198,279,279,0,183,15,198,1,1.4,0
,,,川崎市立高津,278,342,339,3,268,10,278,4,1.22,0
,,,川崎市立幸,118,160,160,0,118,0,118,1,1.35,0
,,,小　　計,594,781,778,3,569,25,594,6,1.3,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,市　立　計,1230,1572,1567,5,－,－,1230,15,1.27,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,合　　計,27275,31228,31099,129,－,－,26403,219,1.17,884
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,
,普通科　クリエイティブスクール,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,県立釜利谷,,,238,111,109,2,,,111,0,1,127
,県立横須賀南,,,118,115,115,0,,,115,0,1,3
,県立小田原北,,,78,73,73,0,,,73,0,1,5
,県立大和東,,,238,221,221,0,,,221,0,1,17
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,672,520,518,2,,,520,0,1,152
,,,,,,,,,,,,,
,※　普通科クリエイティブスクールの受検者数２月17日(A)は、２月19日までの特色検査（面接）の受検者数です。,,,,,,,,,,,
,
