,令和７年５月１日現在,,,設置者別、学校別、学科別　公立高等学校（全日制）の生徒数・学級数（学校一覧）
,学校コード,設置者,所在市区町村,学校名,（学科）,生徒数,,,,,,,,,,学級数,,,
,,,,,,合計,,,１学年,,２学年,,３学年,,,合計,１学年,２学年,３学年
,,,,,,男女,男,女,男,女,男,女,男,女,,,,,
,D114210010017,神奈川県,101横浜市鶴見区,鶴見,（普通）,945,451,494,154,165,162,152,135,177,,24,8,8,8,
,D114210010026,神奈川県,101横浜市鶴見区,鶴見総合,（総合）,754,311,443,120,161,94,138,97,144,,20,7,6,7
,D114210010035,神奈川県,102横浜市神奈川区,神奈川工業,（工業）,945,748,197,251,69,252,65,245,63,,24,8,8,8
,D114210010044,神奈川県,102横浜市神奈川区,神奈川総合,（普通）,677,188,489,54,166,78,158,56,165,,24,8,8,8,（注１）
,D114210010044,神奈川県,102横浜市神奈川区,神奈川総合,（舞台芸術）,89,11,78,6,24,3,27,2,27,,3,1,1,1,（注１）
,D114210010053,神奈川県,102横浜市神奈川区,横浜翠嵐,（普通）,1068,742,326,250,113,249,107,243,106,,27,9,9,9
,D114210010062,神奈川県,102横浜市神奈川区,城郷,（普通）,748,300,448,119,141,95,148,86,159,,21,7,7,7
,D114210010071,神奈川県,103横浜市西区,横浜平沼,（普通）,952,353,599,123,197,119,201,111,201,,24,8,8,8
,D114210010080,神奈川県,104横浜市中区,横浜緑ケ丘,（普通）,829,341,488,123,156,111,168,107,164,,21,7,7,7
,D114210010099,神奈川県,104横浜市中区,横浜立野,（普通）,776,254,522,76,203,82,155,96,164,,20,7,6,7
,D114210010106,神奈川県,105横浜市南区,横浜清陵,（普通）,862,361,501,104,175,111,167,146,159,,22,7,7,8
,D114210010115,神奈川県,105横浜市南区,横浜国際,（国際）,527,150,377,53,126,50,124,47,127,,15,5,5,5
,D114210010151,神奈川県,106横浜市保土ケ谷区,光陵,（普通）,948,415,533,132,187,130,187,153,159,,24,8,8,8
,D114210010160,神奈川県,106横浜市保土ケ谷区,商工,（工業）,328,300,28,104,15,104,8,92,5,,12,4,4,4,（注２）
,D114210010160,神奈川県,106横浜市保土ケ谷区,商工,（商業）,334,156,178,44,74,50,57,62,47,,12,4,4,4,（注２）
,D114210010179,神奈川県,106横浜市保土ケ谷区,保土ケ谷,（普通）,762,497,265,161,86,158,79,178,100,,23,8,7,8
,D114210010222,神奈川県,107横浜市磯子区,磯子工業,（工業）,493,455,38,174,14,147,11,134,13,,18,6,6,6
,D114210010231,神奈川県,107横浜市磯子区,横浜氷取沢,（普通）,1053,546,507,184,174,196,155,166,178,,27,9,9,9
,D114210010240,神奈川県,108横浜市金沢区,金沢総合,（総合）,810,256,554,94,185,77,195,85,174,,25,8,8,9
,D114210010259,神奈川県,108横浜市金沢区,釜利谷,（普通）,487,249,238,111,94,78,75,60,69,,21,7,7,7
,D114210010268,神奈川県,109横浜市港北区,港北,（普通）,1026,510,516,189,170,160,156,161,190,,26,9,8,9
,D114210010277,神奈川県,109横浜市港北区,新羽,（普通）,1130,440,690,150,248,129,242,161,200,,30,10,10,10
,D114210010286,神奈川県,109横浜市港北区,岸根,（普通）,943,495,448,162,157,167,147,166,144,,24,8,8,8
,D114210010375,神奈川県,110横浜市戸塚区,舞岡,（普通）,973,535,438,179,140,167,148,189,150,,25,8,8,9
