school_code,school_name,official_name,school_name_kana,founder,municipality,postal_code,address,full_address,phone,url,official_lat,official_lon,note
0050001289,横浜翠嵐,神奈川県立横浜翠嵐高等学校,カナガワケンリツヨコハマスイランコウトウガッコウ,神奈川県,横浜市神奈川区,221-0854,三ツ沢南町1-1,神奈川県横浜市神奈川区三ツ沢南町1-1,045-311-4621,https://www.pen-kanagawa.ed.jp/yokohamasuiran-h,35.47261294,139.6100742,
0050001319,川和,神奈川県立川和高等学校,カナガワケンリツカワワコウトウガッコウ,神奈川県,横浜市都筑区,224-0057,川和町2226-1,神奈川県横浜市都筑区川和町2226-1,045-941-2436,https://www.pen-kanagawa.ed.jp/kawawa-h,35.5375759,139.5525038,
0050001339,多摩,神奈川県立多摩高等学校,カナガワケンリツタマコウトウガッコウ,神奈川県,川崎市多摩区,214-0021,宿河原5-14-1,神奈川県川崎市多摩区宿河原5-14-1,044-911-7107,https://www.pen-kanagawa.ed.jp/tama-h,35.61716744,139.5850217,
0050001288,神奈川総合,神奈川県立神奈川総合高等学校,カナガワケンリツカナガワソウゴウコウトウガッコウ,神奈川県,横浜市神奈川区,221-0812,平川町19-2,神奈川県横浜市神奈川区平川町19-2,045-491-2000,https://www.pen-kanagawa.ed.jp/kanagawasohgoh-h,35.48097839,139.6288982,
0050001336,新城,神奈川県立新城高等学校,カナガワケンリツシンジョウコウトウガッコウ,神奈川県,川崎市中原区,211-0042,下新城1-14-1,神奈川県川崎市中原区下新城1-14-1,044-766-7457,https://www.pen-kanagawa.ed.jp/shinjo-h,35.58030868,139.6319973,
0050001316,市ケ尾,神奈川県立市ケ尾高等学校,カナガワケンリツイチガオコウトウガッコウ,神奈川県,横浜市青葉区,225-0024,市ケ尾町1854,神奈川県横浜市青葉区市ケ尾町1854,045-971-2041,https://www.pen-kanagawa.ed.jp/ichigao-h,35.55704471,139.5306993,
0050001341,生田,神奈川県立生田高等学校,カナガワケンリツイクタコウトウガッコウ,神奈川県,川崎市多摩区,214-0035,長沢3-17-1,神奈川県川崎市多摩区長沢3-17-1,044-977-3800,https://www.pen-kanagawa.ed.jp/ikuta-h,35.59891743,139.5405493,
0150000490,市立東,横浜市立東高等学校,ヨコハマシリツヒガシコウトウガッコウ,横浜市,横浜市鶴見区,230-0076,馬場3-5-1,神奈川県横浜市鶴見区馬場3-5-1,045-571-0851,https://www.edu.city.yokohama.jp/sch/hs/higashi/,,,
0250000668,市立橘,川崎市立橘高等学校,カワサキシリツタチバナコウトウガッコウ,川崎市,川崎市中原区,211-0012,中丸子562,神奈川県川崎市中原区中丸子562,044-411-2640,https://kawasaki-edu.jp/5/tachibana-highschool-zen,35.56741868,139.6671036,
0050001311,港北,神奈川県立港北高等学校,カナガワケンリツコウホクコウトウガッコウ,神奈川県,横浜市港北区,222-0037,大倉山7-35-1,神奈川県横浜市港北区大倉山7-35-1,045-541-6251,https://www.pen-kanagawa.ed.jp/kohoku-h,35.52442482,139.6175249,
0050001318,元石川,神奈川県立元石川高等学校,カナガワケンリツモトイシカワコウトウガッコウ,神奈川県,横浜市青葉区,225-0004,元石川町4116,神奈川県横浜市青葉区元石川町4116,045-902-2692,https://www.pen-kanagawa.ed.jp/motoishikawa-h,35.57807776,139.5401975,
