school_code,school_name,municipality,lat,lon,primary_station,primary_distance_m,primary_lines,source,access_stations,access_lines
0050001289,横浜翠嵐,横浜市神奈川区,35.472424,139.609512,三ツ沢上町,572,横浜市 3号線,算出,三ツ沢上町(572m);三ツ沢下町(686m);横浜(1353m);反町(1449m);平沼橋(1534m);神奈川(1626m);新高島(1928m);片倉町(1974m);戸部(1975m);高島町(1992m),横浜市 3号線;横浜高速鉄道 みなとみらい21線;京浜急行電鉄 本線;相模鉄道 相鉄本線;東急電鉄 東横線;東日本旅客鉄道 根岸線;東日本旅客鉄道 東海道線
0050001319,川和,横浜市都筑区,35.537945,139.551773,都筑ふれあいの丘,876,横浜市 4号線,算出,都筑ふれあいの丘(876m);川和町(1086m);市が尾(1760m),横浜市 4号線;東急電鉄 田園都市線
0050001339,多摩,川崎市多摩区,35.616833,139.585587,宿河原,568,東日本旅客鉄道 南武線,算出,宿河原(568m);久地(1009m);登戸(1494m);和泉多摩川(1592m);狛江(1868m);向ヶ丘遊園(1897m),東日本旅客鉄道 南武線;小田急電鉄 小田原線
0050001288,神奈川総合,横浜市神奈川区,35.481693,139.628845,東白楽,200,東急電鉄 東横線,算出,東白楽(200m);東神奈川(646m);白楽(872m);反町(889m);神奈川新町(1026m);神奈川(1168m);三ツ沢下町(1363m);子安(1501m);横浜(1866m);岸根公園(1898m);妙蓮寺(1942m);大口(1974m),東急電鉄 東横線;京浜急行電鉄 本線;東日本旅客鉄道 横浜線;東日本旅客鉄道 東海道線;横浜市 3号線;横浜高速鉄道 みなとみらい21線;相模鉄道 相鉄本線;東日本旅客鉄道 根岸線
0050001336,新城,川崎市中原区,35.580193,139.632401,武蔵新城,857,東日本旅客鉄道 南武線,算出,武蔵新城(857m);武蔵中原(882m),東日本旅客鉄道 南武線
0050001316,市ケ尾,横浜市青葉区,35.556686,139.530869,市が尾,1117,東急電鉄 田園都市線,算出,市が尾(1117m);藤が丘(1507m);江田(1869m);青葉台(1968m),東急電鉄 田園都市線
0050001341,生田,川崎市多摩区,35.599426,139.540695,生田,1728,小田急電鉄 小田原線,算出,生田(1728m),小田急電鉄 小田原線
0150000490,市立東,横浜市鶴見区,35.504509,139.650513,鶴見,2402,京浜急行電鉄 本線;東日本旅客鉄道 鶴見線;東日本旅客鉄道 東海道線,手動,鶴見(2402m);菊名(1891m);新横浜(3035m);東神奈川(3332m),京浜急行電鉄 本線;東日本旅客鉄道 鶴見線;東日本旅客鉄道 東海道線;東急電鉄 東横線;東日本旅客鉄道 横浜線;横浜市 3号線;東海旅客鉄道 東海道新幹線;相模鉄道 相鉄新横浜線;東急電鉄 東急新横浜線
0250000668,市立橘,川崎市中原区,35.567242,139.667999,向河原,552,東日本旅客鉄道 南武線,算出,向河原(552m);平間(794m);武蔵小杉(1093m);元住吉(1214m);鵜の木(1452m);新丸子(1569m);下丸子(1646m);沼部(1759m);新川崎(1771m);鹿島田(1866m),東日本旅客鉄道 南武線;東急電鉄 東横線;東日本旅客鉄道 東海道線;東急電鉄 東急多摩川線
0050001311,港北,横浜市港北区,35.523937,139.617508,新羽,617,横浜市 3号線,算出,新羽(617m);北新横浜(673m);大倉山(1127m);新横浜(1757m);菊名(1954m),横浜市 3号線;東急電鉄 東横線;東海旅客鉄道 東海道新幹線;東日本旅客鉄道 横浜線;相模鉄道 相鉄新横浜線;東急電鉄 東急新横浜線
0050001318,元石川,横浜市青葉区,35.577545,139.540359,たまプラーザ,1654,東急電鉄 田園都市線,手動,たまプラーザ(1654m);あざみ野(1591m);新百合ヶ丘(4160m),東急電鉄 田園都市線;横浜市 3号線;小田急電鉄 小田原線;小田急電鉄 多摩線
