prefecture,school_name,nearest_classroom,km,reason
神奈川県,横浜緑園,緑園都市,0.8,10km圏
神奈川県,希望ケ丘,緑園都市,2.0,10km圏
神奈川県,松陽,緑園都市,2.5,10km圏
神奈川県,上矢部,緑園都市,2.9,10km圏
神奈川県,商工,緑園都市,3.1,10km圏
神奈川県,二俣川,緑園都市,3.1,10km圏
神奈川県,大和南,緑園都市,4.3,10km圏
神奈川県,市立戸塚,緑園都市,4.4,10km圏
神奈川県,光陵,緑園都市,4.7,10km圏
神奈川県,保土ケ谷,緑園都市,4.8,10km圏
神奈川県,横浜瀬谷,緑園都市,4.8,10km圏
神奈川県,旭,緑園都市,5.4,10km圏
神奈川県,横浜桜陽,緑園都市,5.4,10km圏
神奈川県,舞岡,緑園都市,5.6,10km圏
神奈川県,横浜国際,緑園都市,5.9,10km圏
神奈川県,市立桜丘,緑園都市,5.9,10km圏
神奈川県,藤沢総合,緑園都市,6.4,10km圏
神奈川県,藤沢工科,緑園都市,6.7,10km圏
神奈川県,白山,緑園都市,7.1,10km圏
神奈川県,湘南台,緑園都市,7.2,10km圏
神奈川県,金井,緑園都市,7.2,10km圏
神奈川県,市立横浜総合,緑園都市,7.7,10km圏
神奈川県,横浜清陵,緑園都市,7.9,10km圏
神奈川県,市立横浜商業,緑園都市,8.0,10km圏
神奈川県,霧が丘,緑園都市,8.1,10km圏
神奈川県,横浜南陵,緑園都市,8.2,10km圏
神奈川県,綾瀬,緑園都市,8.5,10km圏
神奈川県,柏陽,緑園都市,8.7,10km圏
神奈川県,横浜翠嵐,緑園都市,8.8,10km圏
神奈川県,横浜平沼,緑園都市,8.8,10km圏
神奈川県,城郷,緑園都市,8.9,10km圏
神奈川県,横浜明朋,緑園都市,9.0,10km圏
神奈川県,相模向陽館,緑園都市,9.0,10km圏
神奈川県,磯子工業,緑園都市,9.2,10km圏
神奈川県,大和,緑園都市,9.7,10km圏
神奈川県,横浜栄,緑園都市,9.8,10km圏
神奈川県,綾瀬西,緑園都市,9.9,10km圏
神奈川県,藤沢清流,緑園都市,10.0,10km圏
神奈川県,湘南,緑園都市,11.4,遠くても目指す上位校（2026-09-23 相談で例示）
神奈川県,川和,緑園都市,11.3,遠くても目指す上位校（2026-09-23 相談で例示）
神奈川県,横浜緑ケ丘,緑園都市,11.9,遠くても目指す上位校（2026-09-23 相談で例示）
東京都,清瀬,清瀬,0.4,10km圏
東京都,松が谷,京王堀之内,1.0,10km圏
東京都,東久留米総合,清瀬,1.1,10km圏
東京都,久留米西,清瀬,1.6,10km圏
東京都,永山,永山,1.7,10km圏
東京都,南平,京王堀之内,3.0,10km圏
東京都,若葉総合,永山,3.0,10km圏
東京都,保谷,清瀬,4.3,10km圏
東京都,野津田,永山,4.5,10km圏
東京都,日野,永山,4.5,10km圏
東京都,府中西,永山,4.6,10km圏
東京都,八王子東,京王堀之内,5.3,10km圏
東京都,片倉,京王堀之内,5.3,10km圏
東京都,日野台,京王堀之内,5.5,10km圏
東京都,小平,清瀬,5.6,10km圏
東京都,田無,清瀬,5.8,10km圏
東京都,町田工科,京王堀之内,5.8,10km圏
東京都,農業,永山,5.9,10km圏
東京都,山崎,永山,6.0,10km圏
東京都,町田総合,京王堀之内,6.1,10km圏
東京都,田無工科,清瀬,6.3,10km圏
東京都,東村山西,清瀬,6.3,10km圏
東京都,国立,永山,6.5,10km圏
東京都,第五商業,永山,6.6,10km圏
東京都,石神井,清瀬,6.6,10km圏
東京都,府中東,永山,6.7,10km圏
東京都,府中工科,永山,6.7,10km圏
東京都,武蔵野北,清瀬,6.7,10km圏
東京都,府中,永山,6.8,10km圏
東京都,大泉桜,清瀬,7.1,10km圏
東京都,小金井北,清瀬,7.4,10km圏
東京都,立川,京王堀之内,7.7,10km圏
東京都,小平南,清瀬,7.8,10km圏
東京都,八王子拓真,京王堀之内,8.2,10km圏
東京都,多摩科学技術,清瀬,8.3,10km圏
東京都,調布南,永山,8.4,10km圏
東京都,町田,永山,8.5,10km圏
東京都,井草,清瀬,8.7,10km圏
東京都,小平西,清瀬,8.8,10km圏
東京都,昭和,京王堀之内,8.9,10km圏
東京都,国分寺,永山,9.1,10km圏
東京都,東大和,清瀬,9.1,10km圏
東京都,杉並工科,清瀬,9.3,10km圏
東京都,八王子桑志,京王堀之内,9.4,10km圏
東京都,光丘,清瀬,9.5,10km圏
東京都,富士森,京王堀之内,9.6,10km圏
東京都,農芸,清瀬,9.7,10km圏
東京都,砂川,永山,9.9,10km圏
東京都,西,永山,11.7,遠くても目指す上位校（2026-09-23 相談で例示）
