school_code,school_name,stations,reason
410250,永山,永山,直線では はるひ野(1551m) が最短だが多摩丘陵を挟んだ川崎市側。公式は京王・小田急の永山駅からバス
405250,足立東,亀有;北綾瀬,公式は亀有・北綾瀬を最寄駅として並記。バス経路はすべて亀有駅北口発
407230,野津田,町田;鶴川;淵野辺;多摩センター,★算出の唐木田は公式案内に一切無い。町田駅から校門前まで直行バスがある
407260,山崎,町田;古淵,算出の古淵も公式にあるが記載は町田駅が先。どちらもバスで「山崎高校入口」下車
407420,町田総合,町田;淵野辺;古淵,算出の古淵は徒歩25分の経路のみ。バス系統が複数あるのは町田駅
407510,翔陽,高尾,★算出の高尾山口は公式案内に無い。永山と同型の取り違え。公式は高尾駅南口からバス
407720,町田工科,淵野辺;町田;橋本,★算出の古淵は公式の3経路いずれにも無い。所要時間・運賃とも淵野辺駅が最良
408050,拝島,拝島;昭島;立川,算出の昭島も公式にあるが筆頭は拝島駅。校名どおり拝島駅が主
408070,武蔵村山,昭島;西武立川;箱根ヶ崎;東大和市;青梅,算出の箱根ヶ崎は公式で3番目。筆頭は昭島駅
408250,羽村,羽村;箱根ヶ崎,算出の箱根ヶ崎は徒歩経路として併記されるのみ。公式が主に案内するのは羽村駅
410030,調布北,調布;吉祥寺;三鷹;武蔵境,全経路がバスで徒歩案内が無い。2km圏に駅が1つも無いため沿線が空になる。公式の案内順は調布が先頭
