tier,no,club,school_name,note
1,1,硬式野球,城東,
1,2,硬式野球,日野,
1,3,男子バスケットボール,東大和南,
1,4,女子バスケットボール,目黒,
1,5,男子バレーボール,上野,
1,6,女子バレーボール,駒場,
1,7,ラグビー,府中西,
1,8,男子サッカー,東久留米総合,
1,9,女子サッカー,東大和,
1,10,吹奏楽,片倉,
1,11,吹奏楽,杉並,
2,1,相撲,足立新田,
2,2,弓道,東,
2,3,ローイング,小松川,
2,4,自転車競技,八王子桑志,
2,5,フェンシング,王子総合,
2,6,少林寺拳法,国立,
2,7,馬術,農芸,
2,8,ダンス,狛江,
2,9,書道,井草,
2,10,演劇,千早,
3,1,硬式野球,文京,
3,2,陸上競技,東大和,
3,3,陸上競技,国分寺,
3,4,陸上競技,武蔵野北,
3,5,体操競技,駒場,
3,6,男子バスケットボール,大崎,
3,7,女子バスケットボール,駒場,
3,8,男子バレーボール,足立新田,
3,9,女子バレーボール,府中,
3,10,女子ソフトボール,小平西,
3,11,ソフトテニス（男女）,清瀬,
3,12,卓球（男女）,大田桜台,
3,13,ラグビー,北園,
3,14,男子サッカー,駒場,
3,15,女子サッカー,杉並総合,
3,16,ハンドボール,府中西,
3,17,アメリカンフットボール,西,
3,18,バドミントン（男女）,城東,
3,19,水泳,駒場,
3,20,柔道,杉並工科,
3,21,剣道,深川,
3,22,硬式テニス（男女）,東大和,
3,23,ボクシング,府中東,
3,24,アーチェリー,東,
3,25,なぎなた,城東,
3,26,吹奏楽,豊島,
3,27,合唱,府中西,
3,28,和太鼓,篠崎,
3,29,競技かるた（百人一首）,白鷗,
3,30,科学,桜修館中等教育学校,
3,31,箏曲,東久留米総合,
3,32,eスポーツ,町田工科,
3,33,書道,深川,
