category,municipality,school_name,course,capacity,applicants,examinees,ratio
普通科,千代田,日比谷,,253,520,420,1.66
普通科,港,三田,,236,343,301,1.28
普通科,新宿,戸山,,252,474,396,1.57
普通科,文京,竹早,,177,293,275,1.55
普通科,文京,向丘,,220,345,324,1.47
普通科,台東,上野,,252,471,442,1.75
普通科,墨田,日本橋,,189,204,194,1.03
普通科,墨田,本所,,189,273,265,1.40
普通科,江東,城東,,252,413,394,1.56
普通科,江東,東,,189,298,287,1.52
普通科,江東,深川,,185,265,231,1.25
普通科,品川,大崎,,221,349,298,1.35
普通科,品川,小山台,,252,412,385,1.53
普通科,品川,八潮,,188,131,113,0.60
普通科,目黒,駒場,,220,458,422,1.92
普通科,目黒,目黒,,189,395,323,1.71
普通科,大田,大森,,127,64,57,0.45
普通科,大田,蒲田,,109,99,95,0.87
普通科,大田,田園調布,,188,306,274,1.46
普通科,大田,雪谷,,221,359,325,1.47
普通科,世田谷,桜町,,252,286,255,1.01
普通科,世田谷,千歳丘,,221,287,273,1.24
普通科,世田谷,松原,,156,246,229,1.47
普通科,渋谷,青山,,221,455,401,1.81
普通科,渋谷,広尾,,154,280,224,1.45
普通科,中野,鷺宮,,220,403,378,1.72
普通科,中野,武蔵丘,,253,319,286,1.13
普通科,杉並,杉並,,253,357,319,1.26
普通科,杉並,豊多摩,,252,419,377,1.50
普通科,杉並,西,,252,383,326,1.29
普通科,豊島,豊島,,252,535,501,1.99
普通科,豊島,文京,,284,381,351,1.24
普通科,荒川,竹台,,171,238,229,1.34
普通科,板橋,板橋,,221,346,332,1.50
普通科,板橋,大山,,157,72,62,0.39
普通科,板橋,北園,,253,421,391,1.55
普通科,板橋,高島,,252,282,264,1.05
普通科,練馬,井草,,221,274,244,1.10
普通科,練馬,石神井,,252,417,383,1.52
普通科,練馬,田柄,,152,74,69,0.45
普通科,練馬,練馬,,189,213,202,1.07
普通科,練馬,光丘,,185,137,127,0.69
普通科,足立,青井,,164,67,66,0.40
普通科,足立,足立,,220,299,288,1.31
普通科,足立,足立新田,,222,231,223,1.00
普通科,足立,足立西,,156,162,161,1.03
普通科,足立,足立東,,138,117,116,0.84
普通科,足立,江北,,252,421,404,1.60
普通科,足立,淵江,,189,177,174,0.92
普通科,葛飾,葛飾野,,253,285,278,1.10
普通科,葛飾,南葛飾,,171,216,208,1.22
普通科,江戸川,江戸川,,253,393,378,1.49
普通科,江戸川,葛西南,,190,150,142,0.75
普通科,江戸川,小岩,,284,390,379,1.33
普通科,江戸川,小松川,,253,297,274,1.08
普通科,江戸川,篠崎,,222,198,187,0.84
普通科,江戸川,紅葉川,,189,226,217,1.15
普通科,八王子,片倉,,189,232,222,1.17
普通科,八王子,八王子北,,158,178,173,1.09
普通科,八王子,八王子東,,252,308,284,1.13
普通科,八王子,富士森,,249,320,310,1.24
普通科,八王子,松が谷,,188,265,256,1.36
普通科,立川,立川,,220,323,301,1.37
普通科,武蔵野,武蔵野北,,189,281,251,1.33
普通科,青梅,多摩,,163,52,52,0.32
普通科,府中,府中,,252,410,384,1.52
普通科,府中,府中西,,235,267,259,1.10
普通科,府中,府中東,,253,328,311,1.23
普通科,昭島,昭和,,252,472,456,1.81
普通科,昭島,拝島,,221,213,204,0.92
普通科,調布,神代,,252,424,387,1.54
普通科,調布,調布北,,188,326,287,1.53
普通科,調布,調布南,,189,281,244,1.29
普通科,町田,小川,,252,285,276,1.10
普通科,町田,成瀬,,221,269,250,1.13
普通科,町田,野津田,,95,36,33,0.35
普通科,町田,町田,,253,306,290,1.15
普通科,町田,山崎,,166,62,58,0.35
普通科,小金井,小金井北,,189,307,284,1.50
普通科,小平,小平,,157,235,222,1.41
普通科,小平,小平西,,222,256,246,1.11
普通科,小平,小平南,,221,317,304,1.38
普通科,日野,日野,,253,459,442,1.75
普通科,日野,日野台,,241,353,332,1.38
普通科,日野,南平,,253,329,306,1.21
普通科,東村山,東村山,,136,133,128,0.94
普通科,東村山,東村山西,,189,130,123,0.65
普通科,国立,国立,,252,330,295,1.17
普通科,福生,福生,,221,242,236,1.07
普通科,狛江,狛江,,253,425,377,1.49
普通科,東大和,東大和,,221,277,264,1.19
普通科,東大和,東大和南,,220,367,355,1.61
普通科,清瀬,清瀬,,220,264,251,1.14
普通科,東久留米,久留米西,,188,169,163,0.87
普通科,武蔵村山,武蔵村山,,221,227,221,1.00
普通科,多摩,永山,,246,234,226,0.92
普通科,羽村,羽村,,204,71,70,0.34
普通科,あきる野,秋留台,,166,151,146,0.88
普通科,あきる野,五日市,,129,53,51,0.40
普通科,西東京,田無,,252,299,285,1.13
普通科,西東京,保谷,,253,364,346,1.37
普通科,大島,大島,,80,27,27,0.34
普通科,新島,新島,,40,9,9,0.23
普通科,神津島,神津,,40,17,17,0.43
普通科,三宅,三宅,,40,2,2,0.05
普通科,八丈,八丈,,80,29,29,0.36
普通科,小笠原,小笠原,,30,16,16,0.53
普通科コース制,江東,深川,外国語,56,79,71,1.27
