school_code,school_name,school_name_kana,municipality,postal_code,address,full_address,phone
401010,一橋,ヒトツバシ,千代田区,101-0031,東神田1-12-13,東京都千代田区東神田1-12-13,03-3862-6061
401020,日比谷,ヒビヤ,千代田区,100-0014,永田町2-16-1,東京都千代田区永田町2-16-1,03-3581-0808
401040,三田,ミタ,港区,108-0073,三田1-4-46,東京都港区三田1-4-46,03-3453-1991
401210,大崎,オオサキ,品川区,142-0042,豊町2-1-7,東京都品川区豊町2-1-7,03-3786-3355
401220,八潮,ヤシオ,品川区,140-0002,東品川3-27-22,東京都品川区東品川3-27-22,03-3471-7384
401230,小山台,コヤマダイ,品川区,142-0062,小山3-3-32,東京都品川区小山3-3-32,03-3714-8155
401240,雪谷,ユキガヤ,大田区,146-0085,久が原1-14-1,東京都大田区久が原1-14-1,03-3753-0115
401250,大森,オオモリ,大田区,144-0051,西蒲田2-2-1,東京都大田区西蒲田2-2-1,03-3753-3161
401260,田園調布,デンエンチョウフ,大田区,145-0076,田園調布南27-1,東京都大田区田園調布南27-1,03-3750-4346
401290,蒲田,カマタ,大田区,144-0053,蒲田本町1-1-30,東京都大田区蒲田本町1-1-30,03-3737-1331
401410,つばさ総合,ツバサソウゴウ,大田区,144-8533,本羽田3-11-5,東京都大田区本羽田3-11-5,03-5737-0151
401420,六本木,ロッポンギ,港区,106-0032,六本木6-16-36,東京都港区六本木6-16-36,03-5411-7327
401510,六郷工科,ロクゴウコウカ,大田区,144-8506,東六郷2-18-2,東京都大田区東六郷2-18-2,03-3737-6565
401520,美原,ミハラ,大田区,143-0012,大森東1-33-1,東京都大田区大森東1-33-1,03-3764-3883
401610,芝商業,シバショウギョウ,港区,105-0022,海岸1-8-25,東京都港区海岸1-8-25,03-3431-0760
401620,大田桜台,オオタサクラダイ,大田区,143-0027,中馬込3-11-10,東京都大田区中馬込3-11-10,03-6303-7980
402010,戸山,トヤマ,新宿区,162-0052,戸山3-19-1,東京都新宿区戸山3-19-1,03-3202-4301
402030,駒場,コマバ,目黒区,153-0044,大橋2-18-1,東京都目黒区大橋2-18-1,03-3466-2481
402040,目黒,メグロ,目黒区,153-0052,祐天寺2-7-15,東京都目黒区祐天寺2-7-15,03-3792-5541
402060,新宿,シンジュク,新宿区,160-0014,内藤町11-4,東京都新宿区内藤町11-4,03-3354-7411
402070,青山,アオヤマ,渋谷区,150-0001,神宮前2-1-8,東京都渋谷区神宮前2-1-8,03-3404-7801
402080,広尾,ヒロオ,渋谷区,150-0011,東4-14-14,東京都渋谷区東4-14-14,03-3400-1761
402210,松原,マツバラ,世田谷区,156-0045,桜上水4-3-5,東京都世田谷区桜上水4-3-5,03-3303-5381
402220,桜町,サクラマチ,世田谷区,158-0097,用賀2-4-1,東京都世田谷区用賀2-4-1,03-3700-4330
