school_code,school_name,municipality,lat,lon,primary_station,primary_distance_m,primary_lines,source,access_stations,access_lines
401010,一橋,千代田区,35.695004,139.781219,馬喰町,213,東日本旅客鉄道 総武線,算出,馬喰町(213m);馬喰横山(357m);浅草橋(474m);東日本橋(487m);岩本町(539m);小伝馬町(560m);秋葉原(754m);新日本橋(923m);浜町(947m);神田(977m);人形町(986m);三越前(1218m);末広町(1220m);淡路町(1243m);両国(1288m);小川町(1307m);新御徒町(1330m);仲御徒町(1373m);水天宮前(1376m);蔵前(1409m);新御茶ノ水(1440m);御徒町(1477m);日本橋(1575m);御茶ノ水(1577m);上野広小路(1586m);上野御徒町(1626m);湯島(1657m);茅場町(1705m);森下(1710m);稲荷町(1825m);大手町(1837m);田原町(1851m);上野(1989m),東日本旅客鉄道 総武線;東京都 10号線新宿線;東京都 1号線浅草線;東京地下鉄 2号線日比谷線;首都圏新都市鉄道 常磐新線;東日本旅客鉄道 東北線;東京地下鉄 3号線銀座線;東日本旅客鉄道 中央線;東京地下鉄 11号線半蔵門線;東京地下鉄 4号線丸ノ内線;東京都 12号線大江戸線;東京地下鉄 9号線千代田線;東京地下鉄 5号線東西線;東京都 6号線三田線;京成電鉄 本線;東日本旅客鉄道 東北新幹線
401020,日比谷,千代田区,35.676144,139.740509,永田町,234,東京地下鉄 7号線南北線;東京地下鉄 8号線有楽町線;東京地下鉄 11号線半蔵門線,算出,永田町(234m);赤坂見附(294m);国会議事堂前(398m);溜池山王(445m);赤坂(580m);麹町(1002m);桜田門(1031m);半蔵門(1033m);霞ヶ関(1063m);虎ノ門(1094m);虎ノ門ヒルズ(1180m);六本木一丁目(1239m);四ツ谷(1388m);青山一丁目(1530m);内幸町(1545m);神谷町(1551m);六本木(1644m);乃木坂(1672m);日比谷(1754m);信濃町(1786m);市ヶ谷(1810m);御成門(1956m);二重橋前(1982m);新橋(1989m),東京地下鉄 7号線南北線;東京地下鉄 8号線有楽町線;東京地下鉄 11号線半蔵門線;東京地下鉄 3号線銀座線;東京地下鉄 4号線丸ノ内線;東京地下鉄 9号線千代田線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 中央線;東京都 12号線大江戸線;東京都 6号線三田線;東京都 10号線新宿線;ゆりかもめ 東京臨海新交通臨海線;東京都 1号線浅草線;東日本旅客鉄道 東海道線
401040,三田,港区,35.653156,139.742737,赤羽橋,241,東京都 12号線大江戸線,算出,赤羽橋(241m);麻布十番(622m);芝公園(638m);三田(811m);田町(935m);神谷町(1068m);御成門(1175m);大門(1193m);モノレール浜松町(1291m);浜松町(1324m);白金高輪(1350m);六本木一丁目(1370m);日の出(1546m);六本木(1546m);虎ノ門ヒルズ(1640m);泉岳寺(1693m);竹芝(1745m);芝浦ふ頭(1830m);広尾(1862m);高輪ゲートウェイ(1986m),東京都 12号線大江戸線;東京地下鉄 7号線南北線;東京都 6号線三田線;東京都 1号線浅草線;東日本旅客鉄道 東海道線;東京地下鉄 2号線日比谷線;東京モノレール 東京モノレール羽田空港線;ゆりかもめ 東京臨海新交通臨海線;京浜急行電鉄 本線
401210,大崎,品川区,35.609982,139.720352,戸越公園,212,東急電鉄 大井町線,算出,戸越公園(212m);下神明(557m);戸越(611m);荏原中延(752m);戸越銀座(827m);中延(829m);西大井(921m);大崎(1300m);大井町(1307m);荏原町(1346m);大崎広小路(1382m);旗の台(1683m);馬込(1698m);五反田(1820m);不動前(1836m);武蔵小山(1852m),東急電鉄 大井町線;東京都 1号線浅草線;東急電鉄 池上線;東日本旅客鉄道 東海道線;東京臨海高速鉄道 臨海副都心線;東日本旅客鉄道 山手線;東急電鉄 目黒線
401220,八潮,品川区,35.611317,139.746445,品川シーサイド,347,東京臨海高速鉄道 臨海副都心線,算出,品川シーサイド(347m);青物横丁(381m);新馬場(744m);鮫洲(783m);大井町(1168m);天王洲アイル(1233m);北品川(1394m);立会川(1578m);大井競馬場前(1812m);下神明(1843m);大崎(1913m),東京臨海高速鉄道 臨海副都心線;京浜急行電鉄 本線;東急電鉄 大井町線;東日本旅客鉄道 東海道線;東京モノレール 東京モノレール羽田空港線;東日本旅客鉄道 山手線
401230,小山台,品川区,35.62146,139.702896,武蔵小山,177,東急電鉄 目黒線,算出,武蔵小山(177m);西小山(769m);不動前(1026m);戸越銀座(1251m);戸越(1448m);洗足(1493m);荏原中延(1528m);目黒(1703m);大崎広小路(1761m);学芸大学(1791m);旗の台(1827m);北千束(1899m);五反田(1974m);戸越公園(1976m),東急電鉄 目黒線;東急電鉄 池上線;東京都 1号線浅草線;東京都 6号線三田線;東日本旅客鉄道 山手線;東京地下鉄 7号線南北線;東急電鉄 東横線;東急電鉄 大井町線
401240,雪谷,大田区,35.586651,139.689041,御嶽山,621,東急電鉄 池上線,算出,御嶽山(621m);久が原(856m);雪が谷大塚(928m);石川台(1190m);洗足池(1458m);鵜の木(1469m);沼部(1508m);千鳥町(1533m);西馬込(1564m);下丸子(1734m);多摩川(1863m);長原(1911m),東急電鉄 池上線;東急電鉄 東急多摩川線;東京都 1号線浅草線;東急電鉄 東横線
401250,大森,大田区,35.571102,139.710236,池上,675,東急電鉄 池上線,算出,池上(675m);蓮沼(808m);蒲田(1107m);矢口渡(1314m);京急蒲田(1649m);武蔵新田(1653m);梅屋敷(1692m);千鳥町(1715m);西馬込(1836m);大森町(1975m),東急電鉄 池上線;東急電鉄 東急多摩川線;東日本旅客鉄道 東海道線;京浜急行電鉄 空港線;京浜急行電鉄 本線;東京都 1号線浅草線
401260,田園調布,大田区,35.583145,139.677216,沼部,373,東急電鉄 東急多摩川線,算出,沼部(373m);御嶽山(521m);久が原(868m);鵜の木(914m);雪が谷大塚(1042m);多摩川(1042m);新丸子(1413m);下丸子(1512m);向河原(1514m);武蔵小杉(1647m);石川台(1683m);千鳥町(1710m);田園調布(1811m),東急電鉄 東急多摩川線;東急電鉄 池上線;東急電鉄 東横線;東日本旅客鉄道 南武線;東日本旅客鉄道 東海道線;東急電鉄 目黒線
401290,蒲田,大田区,35.5574,139.715515,蒲田,509,東急電鉄 池上線;東急電鉄 東急多摩川線;東日本旅客鉄道 東海道線,算出,蒲田(509m);雑色(849m);京急蒲田(930m);蓮沼(961m);糀谷(1315m);矢口渡(1483m);梅屋敷(1549m);池上(1982m),東急電鉄 池上線;東急電鉄 東急多摩川線;東日本旅客鉄道 東海道線;京浜急行電鉄 本線;京浜急行電鉄 空港線
401410,つばさ総合,大田区,35.547405,139.740143,大鳥居,547,京浜急行電鉄 空港線,算出,大鳥居(547m);穴守稲荷(678m);大師橋(1201m);糀谷(1235m);天空橋(1312m);東門前(1313m);整備場(1470m);小島新田(1570m);川崎大師(1820m),京浜急行電鉄 空港線;京浜急行電鉄 大師線;東京モノレール 東京モノレール羽田空港線
401420,六本木,港区,35.65807,139.730743,麻布十番,592,東京地下鉄 7号線南北線;東京都 12号線大江戸線,算出,麻布十番(592m);六本木(598m);乃木坂(1032m);広尾(1042m);六本木一丁目(1072m);赤羽橋(1263m);神谷町(1361m);赤坂(1644m);白金高輪(1690m);青山一丁目(1752m);芝公園(1785m);外苑前(1798m);虎ノ門ヒルズ(1851m);溜池山王(1855m);表参道(1866m);御成門(1902m),東京地下鉄 7号線南北線;東京都 12号線大江戸線;東京地下鉄 2号線日比谷線;東京地下鉄 9号線千代田線;東京都 6号線三田線;東京地下鉄 3号線銀座線;東京地下鉄 11号線半蔵門線
